match_id,date_utc,competition,home,away,home_goals,away_goals,actual_result,total_goals,btts_actual,over_0_5_actual,over_1_5_actual,over_2_5_actual,over_3_5_actual,actual_advancing_team,result_semantics,evaluation_eligible_1x2,had_extra_time,had_penalties,penalties_home,penalties_away,result_source,last_updated
66456948,2026-06-26,FIFA World Cup,Turkiye,United States,3,2,home_win,5,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66456950,2026-06-26,FIFA World Cup,Paraguay,Australia,0,0,draw,0,0,0,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457014,2026-06-26,FIFA World Cup,Norway,France,1,4,away_win,5,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457016,2026-06-26,FIFA World Cup,Senegal,Iraq,5,0,home_win,5,0,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457002,2026-06-27,FIFA World Cup,Uruguay,Spain,0,1,away_win,1,0,1,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457004,2026-06-27,FIFA World Cup,Cape Verde,Saudi Arabia,0,0,draw,0,0,0,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66456990,2026-06-27,FIFA World Cup,New Zealand,Belgium,1,5,away_win,6,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66456992,2026-06-27,FIFA World Cup,Egypt,Iran,1,1,draw,2,1,1,1,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457050,2026-06-27,FIFA World Cup,Panama,England,0,2,away_win,2,0,1,1,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457052,2026-06-27,FIFA World Cup,Croatia,Ghana,2,1,home_win,3,1,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457038,2026-06-28,FIFA World Cup,Colombia,Portugal,0,0,draw,0,0,0,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457040,2026-06-28,FIFA World Cup,DR Congo,Uzbekistan,3,1,home_win,4,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457026,2026-06-28,FIFA World Cup,Jordan,Argentina,1,3,away_win,4,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
66457028,2026-06-28,FIFA World Cup,Algeria,Austria,3,3,draw,6,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_73,2026-06-28,FIFA World Cup,South Africa,Canada,0,1,away_win,1,0,1,0,0,0,Canada,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_76,2026-06-29,FIFA World Cup,Brazil,Japan,2,1,home_win,3,1,1,1,1,0,Brazil,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_74,2026-06-29,FIFA World Cup,Germany,Paraguay,1,1,draw,2,1,1,1,0,0,Paraguay,90-minute regular time,True,True,True,3,4,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_75,2026-06-30,FIFA World Cup,Netherlands,Morocco,1,1,draw,2,1,1,1,0,0,Morocco,90-minute regular time,True,True,True,2,3,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_78,2026-06-30,FIFA World Cup,Ivory Coast,Norway,1,2,away_win,3,1,1,1,1,0,Norway,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_77,2026-06-30,FIFA World Cup,France,Sweden,3,0,home_win,3,0,1,1,1,0,France,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_79,2026-07-01,FIFA World Cup,Mexico,Ecuador,2,0,home_win,2,0,1,1,0,0,Mexico,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_80,2026-07-01,FIFA World Cup,England,DR Congo,2,1,home_win,3,1,1,1,1,0,England,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_82,2026-07-01,FIFA World Cup,Belgium,Senegal,2,2,draw,4,1,1,1,1,1,Belgium,90-minute regular time,True,True,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_81,2026-07-02,FIFA World Cup,United States,Bosnia and Herzegovina,2,0,home_win,2,0,1,1,0,0,United States,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_84,2026-07-02,FIFA World Cup,Spain,Austria,3,0,home_win,3,0,1,1,1,0,Spain,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_83,2026-07-03,FIFA World Cup,Portugal,Croatia,2,1,home_win,3,1,1,1,1,0,Portugal,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_85,2026-07-03,FIFA World Cup,Switzerland,Algeria,2,0,home_win,2,0,1,1,0,0,Switzerland,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_88,2026-07-03,FIFA World Cup,Australia,Egypt,1,1,draw,2,1,1,1,0,0,Egypt,90-minute regular time,True,True,True,2,4,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_86,2026-07-04,FIFA World Cup,Argentina,Cape Verde,1,1,draw,2,1,1,1,1,1,Argentina,90-minute regular time,True,True,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_87,2026-07-04,FIFA World Cup,Colombia,Ghana,1,0,home_win,1,0,1,0,0,0,Colombia,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_90,2026-07-04,FIFA World Cup,Canada,Morocco,0,3,away_win,3,0,1,1,1,0,Morocco,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_89,2026-07-04,FIFA World Cup,Paraguay,France,0,1,away_win,1,0,1,0,0,0,France,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_91,2026-07-05,FIFA World Cup,Brazil,Norway,1,2,away_win,3,1,1,1,1,0,Norway,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_92,2026-07-06,FIFA World Cup,Mexico,England,2,3,away_win,5,1,1,1,1,1,England,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_93,2026-07-06,FIFA World Cup,Portugal,Spain,0,1,away_win,1,0,1,0,0,0,Spain,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_94,2026-07-07,FIFA World Cup,United States,Belgium,1,4,away_win,5,1,1,1,1,1,Belgium,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_95,2026-07-07,FIFA World Cup,Argentina,Egypt,3,2,home_win,5,1,1,1,1,1,Argentina,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_96,2026-07-07,FIFA World Cup,Switzerland,Colombia,0,0,draw,0,0,0,0,0,0,Switzerland,90-minute regular time,True,True,True,4,3,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
