team,reference_date,behavior_window_start,behavior_window_end,matches_available_all_time,matches_used_recent,oldest_match_used,latest_match_used,behavior_config_name,n_matches,weighted_goals_for,weighted_goals_for_raw,weighted_goals_for_adjusted,weighted_goals_against,weighted_goals_against_raw,weighted_goals_against_adjusted,weighted_goal_difference,all_time_goals_for,all_time_goals_against,attack_index,attack_index_raw,attack_index_adjusted_old,attack_index_adjusted,attack_index_residual,attack_index_final,defense_index,defense_index_raw,defense_index_adjusted_old,defense_index_adjusted,defense_index_residual,defense_index_final,weighted_goal_for_residual,weighted_goal_against_residual,weighted_result_residual,residual_coverage_recent,recent_form_index,weighted_btts_rate,weighted_over_2_5_rate,clean_sheet_rate,failed_to_score_rate,environment_response_index,environment_sample_size,attack_data_quality,defense_data_quality,form_data_quality,environment_data_quality,overall_data_quality,behavior_warning,sample_size_warning,staleness_warning,opponent_quality_warning,mean_opponent_elo_recent,median_opponent_elo_recent,min_opponent_elo_recent,max_opponent_elo_recent,opponent_elo_coverage_recent,strong_opponent_match_count,weak_opponent_match_count,schedule_strength_label,schedule_strength_warning,opponent_adjustment_warning,residual_warning,last_updated
Sierra Leone,2026-06-21,2022-06-21,2026-06-21,301,29,2022-09-24,2026-06-09,calibrated_4y_40m_hl365,29,1.069,1.155,1.069,1.184,1.166,1.184,-0.115,0.963,1.379,0.488,0.516,0.478,0.478,0.424,0.488,0.526,0.509,0.504,0.504,0.567,0.526,-0.227,-0.201,0.015,1.0,0.407,0.575,0.355,0.22,0.231,0.5,0,high,high,high,none,high,Attack index reduced after opponent-quality adjustment.,,,,1488.346,1469.334,1104.939,1857.865,1.0,6,7,average,,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Silesia,2026-06-21,2022-06-21,2026-06-21,8,0,,,calibrated_4y_40m_hl365,0,,,,,,,,3.0,2.125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Singapore,2026-06-21,2022-06-21,2026-06-21,696,40,2022-09-24,2026-06-05,calibrated_4y_40m_hl365,40,1.349,1.551,1.349,1.512,1.434,1.512,-0.162,1.348,1.823,0.626,0.649,0.572,0.572,0.572,0.626,0.432,0.416,0.393,0.393,0.47,0.432,0.216,0.091,0.089,1.0,0.424,0.732,0.726,0.154,0.164,0.5,0,high,high,high,none,high,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1350.633,1366.324,974.726,1834.684,1.0,2,19,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Sint Maarten,2026-06-21,2022-06-21,2026-06-21,60,20,2023-03-04,2026-03-30,calibrated_4y_40m_hl365,20,1.207,1.373,1.207,1.576,1.462,1.576,-0.369,1.467,2.55,0.518,0.518,0.455,0.455,0.519,0.518,0.409,0.422,0.372,0.372,0.378,0.409,0.058,0.367,0.179,1.0,0.463,0.474,0.581,0.341,0.418,0.5,0,moderate,moderate,moderate,none,moderate,Recent goals-against differs from all-time by -0.97.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1374.033,1369.202,1080.865,1635.56,1.0,0,8,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Slovakia,2026-06-21,2022-06-21,2026-06-21,367,40,2022-11-17,2026-06-05,calibrated_4y_40m_hl365,40,1.492,1.418,1.492,1.256,1.347,1.256,0.236,1.411,1.248,0.561,0.595,0.628,0.628,0.48,0.561,0.476,0.493,0.527,0.527,0.436,0.476,-0.059,0.191,-0.017,1.0,0.527,0.369,0.436,0.459,0.228,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1612.201,1628.099,918.186,1985.486,1.0,17,4,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Slovenia,2026-06-21,2022-06-21,2026-06-21,317,40,2022-11-20,2026-06-07,calibrated_4y_40m_hl365,40,0.963,0.905,0.963,1.02,1.148,1.02,-0.057,1.237,1.174,0.37,0.388,0.417,0.417,0.327,0.37,0.525,0.509,0.554,0.554,0.561,0.525,-0.52,-0.183,-0.054,1.0,0.378,0.459,0.36,0.375,0.408,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1640.38,1682.276,917.467,1993.234,1.0,19,3,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Solomon Islands,2026-06-21,2022-06-21,2026-06-21,214,30,2022-09-21,2026-03-30,calibrated_4y_40m_hl365,30,1.316,1.355,1.316,2.28,2.28,2.28,-0.964,2.159,1.967,0.558,0.579,0.561,0.561,0.507,0.558,0.118,0.169,0.163,0.163,0.0,0.118,0.021,1.812,-0.349,1.0,0.199,0.639,0.713,0.071,0.286,0.5,0,high,high,high,none,high,,,,,1480.936,1521.774,1124.667,1687.696,1.0,0,5,average,,,,2026-06-20T23:36:25+00:00
Somalia,2026-06-21,2022-06-21,2026-06-21,124,16,2023-10-14,2025-11-26,calibrated_4y_40m_hl365,16,0.25,0.247,0.25,1.696,1.757,1.696,-1.445,0.5,2.661,0.173,0.114,0.115,0.115,0.31,0.173,0.407,0.295,0.314,0.314,0.67,0.407,-0.569,-0.509,0.085,1.0,0.114,0.169,0.452,0.194,0.831,0.5,0,moderate,moderate,moderate,none,moderate,Recent goals-against differs from all-time by -0.97.; Attack boosted by opponent adjustment but goal residual is negative. Large raw-vs-residual defense disagreement.,,,,1516.436,1494.871,1359.522,1790.986,1.0,2,0,average,,,Attack boosted by opponent adjustment but goal residual is negative. Large raw-vs-residual defense disagreement.,2026-06-20T23:36:25+00:00
Somaliland,2026-06-21,2022-06-21,2026-06-21,6,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.333,3.333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
South Africa,2026-06-21,2022-06-21,2026-06-21,483,40,2023-11-18,2026-06-18,calibrated_4y_40m_hl365,40,1.137,1.114,1.137,0.99,1.11,0.99,0.147,1.348,0.95,0.439,0.45,0.463,0.463,0.414,0.439,0.527,0.501,0.534,0.534,0.588,0.527,-0.259,-0.265,-0.02,1.0,0.42,0.409,0.334,0.3,0.394,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1564.449,1533.204,1167.217,1906.475,1.0,9,3,average,,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
South Korea,2026-06-21,2022-06-21,2026-06-21,1010,40,2023-09-07,2026-06-18,calibrated_4y_40m_hl365,40,1.782,1.637,1.782,0.8,0.903,0.8,0.982,1.778,0.908,0.621,0.657,0.72,0.72,0.539,0.621,0.6,0.609,0.638,0.638,0.579,0.6,0.116,-0.237,0.023,1.0,0.696,0.459,0.527,0.342,0.237,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1655.349,1674.722,1338.602,1968.223,1.0,17,1,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
South Ossetia,2026-06-21,2022-06-21,2026-06-21,17,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.059,2.176,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
South Sudan,2026-06-21,2022-06-21,2026-06-21,78,25,2023-03-23,2025-11-25,calibrated_4y_40m_hl365,25,0.433,0.428,0.433,1.763,1.826,1.763,-1.33,0.641,1.821,0.224,0.191,0.194,0.194,0.3,0.224,0.369,0.33,0.348,0.348,0.459,0.369,-0.599,0.123,0.016,1.0,0.132,0.317,0.413,0.25,0.677,0.5,0,moderate,moderate,moderate,none,moderate,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1528.44,1502.27,1241.011,1827.996,1.0,3,2,average,,,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
South Yemen,2026-06-21,2022-06-21,2026-06-21,3,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.333,2.667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Spain,2026-06-21,2022-06-21,2026-06-21,784,40,2023-06-15,2026-06-15,calibrated_4y_40m_hl365,40,2.427,2.229,2.427,0.564,0.682,0.564,1.863,2.043,0.897,0.749,0.798,0.895,0.895,0.633,0.749,0.674,0.711,0.76,0.76,0.587,0.674,0.4,-0.26,-0.035,1.0,0.79,0.401,0.649,0.657,0.194,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1764.46,1795.108,1174.953,2047.319,1.0,27,1,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Sri Lanka,2026-06-21,2022-06-21,2026-06-21,251,21,2023-10-12,2025-11-18,calibrated_4y_40m_hl365,21,0.685,0.824,0.685,1.702,1.549,1.702,-1.017,0.944,2.295,0.376,0.355,0.297,0.297,0.425,0.376,0.453,0.398,0.349,0.349,0.583,0.453,-0.226,-0.25,0.157,1.0,0.292,0.353,0.529,0.241,0.449,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1216.462,1167.891,981.124,1540.339,1.0,0,16,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Sudan,2026-06-21,2022-06-21,2026-06-21,469,36,2022-09-26,2026-01-03,calibrated_4y_40m_hl365,36,0.492,0.49,0.492,1.153,1.257,1.153,-0.661,1.083,1.352,0.238,0.224,0.225,0.225,0.273,0.238,0.524,0.484,0.518,0.518,0.616,0.524,-0.682,-0.347,-0.001,1.0,0.268,0.23,0.274,0.375,0.631,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative.,,,,1554.404,1558.984,1289.731,1838.084,1.0,6,2,average,,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Suriname,2026-06-21,2022-06-21,2026-06-21,399,30,2022-09-22,2026-03-26,calibrated_4y_40m_hl365,30,1.378,1.346,1.378,1.044,1.155,1.044,0.334,1.88,1.416,0.527,0.528,0.545,0.545,0.525,0.527,0.546,0.523,0.553,0.553,0.6,0.546,0.076,-0.301,0.071,1.0,0.438,0.546,0.449,0.339,0.235,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1551.119,1539.24,1014.814,1858.313,1.0,8,4,average,,Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Surrey,2026-06-21,2022-06-21,2026-06-21,1,0,,,calibrated_4y_40m_hl365,0,,,,,,,,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Sweden,2026-06-21,2022-06-21,2026-06-21,1102,40,2022-11-16,2026-06-14,calibrated_4y_40m_hl365,40,2.208,2.04,2.208,1.382,1.598,1.382,0.826,1.975,1.29,0.753,0.737,0.819,0.819,0.788,0.753,0.355,0.329,0.385,0.385,0.416,0.355,0.865,0.253,0.067,1.0,0.586,0.702,0.712,0.094,0.204,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1669.98,1714.947,1341.943,1993.503,1.0,23,1,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Switzerland,2026-06-21,2022-06-21,2026-06-21,887,40,2023-06-16,2026-06-18,calibrated_4y_40m_hl365,40,2.133,2.013,2.133,0.862,0.978,0.862,1.271,1.495,1.632,0.702,0.732,0.8,0.8,0.632,0.702,0.568,0.571,0.607,0.607,0.559,0.568,0.396,-0.177,-0.017,1.0,0.603,0.723,0.43,0.279,0.109,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1710.022,1736.633,1180.113,2090.492,1.0,22,2,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Syria,2026-06-21,2022-06-21,2026-06-21,484,40,2022-11-17,2026-06-05,calibrated_4y_40m_hl365,40,1.571,1.674,1.571,0.832,0.848,0.832,0.739,1.43,1.318,0.622,0.632,0.575,0.575,0.6,0.622,0.656,0.67,0.659,0.659,0.623,0.656,0.3,-0.369,0.051,1.0,0.554,0.311,0.458,0.491,0.213,0.5,0,high,high,high,none,high,Attack index reduced after opponent-quality adjustment.,,,,1520.298,1516.704,1083.968,1912.09,1.0,8,9,average,,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Székely Land,2026-06-21,2022-06-21,2026-06-21,27,2,2023-06-30,2023-07-02,calibrated_4y_40m_hl365,2,3.542,3.501,3.542,0.971,0.997,0.971,2.571,2.074,2.074,1.0,1.0,1.0,1.0,1.0,1.0,0.582,0.551,0.557,0.557,0.655,0.582,3.757,-0.466,0.551,1.0,0.995,0.499,1.0,0.493,0.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 1085 days before reference date.; Recent goals-for differs from all-time by +1.47. Recent goals-against differs from all-time by -1.10.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 1085 days before reference date.,,1508.379,1508.379,1473.485,1543.273,1.0,0,0,average,,,,2026-06-20T23:36:25+00:00
Sápmi,2026-06-21,2022-06-21,2026-06-21,29,1,2023-07-16,2023-07-16,calibrated_4y_40m_hl365,1,1.039,1.0,1.039,1.925,2.0,1.925,-0.886,3.103,1.862,0.465,0.483,0.489,0.489,0.425,0.465,0.169,0.1,0.123,0.123,0.329,0.169,-0.226,0.513,-0.331,1.0,0.056,1.0,1.0,0.0,0.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 1071 days before reference date.; Recent goals-for differs from all-time by -2.06.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 1071 days before reference date.,,1562.521,1562.521,1562.521,1562.521,1.0,0,0,average,,,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
São Tomé and Príncipe,2026-06-21,2022-06-21,2026-06-21,71,16,2023-03-22,2025-10-13,calibrated_4y_40m_hl365,16,0.605,0.615,0.605,2.284,2.277,2.284,-1.679,0.746,2.563,0.314,0.286,0.281,0.281,0.381,0.314,0.195,0.165,0.167,0.167,0.265,0.195,-0.358,0.706,0.018,1.0,0.15,0.306,0.621,0.176,0.536,0.5,0,moderate,moderate,moderate,none,moderate,Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1497.975,1469.803,1310.912,1774.722,1.0,2,2,average,,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Tahiti,2026-06-21,2022-06-21,2026-06-21,242,17,2023-03-21,2025-03-21,calibrated_4y_40m_hl365,17,1.17,1.246,1.17,1.289,1.351,1.289,-0.119,2.715,1.533,0.493,0.503,0.47,0.47,0.469,0.493,0.484,0.493,0.503,0.503,0.462,0.484,-0.094,0.113,0.008,1.0,0.471,0.204,0.599,0.354,0.438,0.5,0,low,low,low,none,low,Latest match is 457 days before reference date.; Recent goals-for differs from all-time by -1.54.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.; Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,Latest match is 457 days before reference date.,,1456.379,1499.499,1111.305,1737.835,1.0,2,6,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Taiwan,2026-06-21,2022-06-21,2026-06-21,245,23,2022-12-14,2025-11-18,calibrated_4y_40m_hl365,23,0.865,0.995,0.865,2.751,2.615,2.751,-1.886,1.306,2.506,0.438,0.422,0.372,0.372,0.476,0.438,0.06,0.048,0.031,0.031,0.09,0.06,-0.071,1.229,-0.133,1.0,0.073,0.639,0.805,0.059,0.284,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1364.001,1399.277,947.326,1673.166,1.0,0,10,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Tajikistan,2026-06-21,2022-06-21,2026-06-21,201,36,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,36,1.602,1.855,1.602,0.833,0.789,0.833,0.769,1.488,1.383,0.668,0.697,0.587,0.587,0.599,0.668,0.646,0.663,0.623,0.623,0.606,0.646,0.297,-0.319,-0.002,1.0,0.541,0.367,0.554,0.363,0.217,0.5,0,high,high,high,none,high,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1414.551,1429.981,964.388,1775.988,1.0,3,16,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Tamil Eelam,2026-06-21,2022-06-21,2026-06-21,28,6,2023-08-04,2025-07-04,calibrated_4y_40m_hl365,6,3.163,3.291,3.163,0.383,0.376,0.383,2.781,2.571,2.179,1.0,1.0,0.98,0.98,1.0,1.0,0.812,0.821,0.812,0.812,0.789,0.812,2.108,-0.866,0.353,1.0,0.971,0.376,1.0,0.594,0.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent goals-against differs from all-time by -1.80.; Recent schedule skews toward weak opponents.,Fewer than 8 recent matches; behavior is insufficient.,,,1445.279,1490.12,1345.621,1500.0,1.0,0,1,weak,Recent schedule skews toward weak opponents.,,,2026-06-20T23:36:25+00:00
Tanzania,2026-06-21,2022-06-21,2026-06-21,599,39,2022-09-24,2026-03-29,calibrated_4y_40m_hl365,39,0.817,0.812,0.817,1.04,1.091,1.04,-0.222,1.102,1.489,0.336,0.319,0.312,0.312,0.374,0.336,0.549,0.514,0.524,0.524,0.629,0.549,-0.378,-0.387,-0.131,1.0,0.263,0.301,0.202,0.202,0.534,0.5,0,high,high,high,none,high,,,,,1542.22,1545.603,943.584,1900.641,1.0,9,3,average,,,,2026-06-20T23:36:25+00:00
Thailand,2026-06-21,2022-06-21,2026-06-21,865,40,2023-09-07,2026-06-09,calibrated_4y_40m_hl365,40,1.824,2.018,1.824,1.032,0.979,1.032,0.792,1.607,1.481,0.734,0.749,0.666,0.666,0.699,0.734,0.571,0.582,0.554,0.554,0.547,0.571,0.597,-0.142,0.0,1.0,0.573,0.503,0.628,0.376,0.159,0.5,0,high,high,high,none,high,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1436.433,1448.238,977.627,1919.966,1.0,5,14,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Tibet,2026-06-21,2022-06-21,2026-06-21,21,5,2022-08-07,2025-07-03,calibrated_4y_40m_hl365,5,2.057,2.081,2.057,3.91,3.923,3.91,-1.853,1.429,5.762,0.699,0.65,0.642,0.642,0.814,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.942,3.248,-0.29,1.0,0.01,0.572,1.0,0.0,0.428,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent goals-against differs from all-time by -1.85.,Fewer than 8 recent matches; behavior is insufficient.,,,1470.485,1486.964,1368.569,1515.842,1.0,0,0,average,,,,2026-06-20T23:36:25+00:00
Ticino,2026-06-21,2022-06-21,2026-06-21,2,2,2023-06-17,2023-08-06,calibrated_4y_40m_hl365,2,0.927,1.0,0.927,4.0,4.0,4.0,-3.073,1.0,6.5,0.436,0.483,0.447,0.447,0.327,0.436,0.0,0.0,0.0,0.0,0.0,0.0,-0.519,5.623,-0.653,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 1050 days before reference date.; Recent goals-against differs from all-time by -2.50.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 1050 days before reference date.,,1385.641,1385.641,1370.663,1400.62,1.0,0,0,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Timor-Leste,2026-06-21,2022-06-21,2026-06-21,86,18,2022-11-05,2025-11-18,calibrated_4y_40m_hl365,18,0.613,0.727,0.613,2.666,2.533,2.666,-2.053,0.826,3.302,0.349,0.315,0.268,0.268,0.427,0.349,0.143,0.125,0.093,0.093,0.184,0.143,-0.218,0.948,0.041,1.0,0.118,0.408,0.703,0.131,0.456,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1243.487,1183.982,1013.0,1558.801,1.0,0,13,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Togo,2026-06-21,2022-06-21,2026-06-21,447,29,2022-09-24,2026-06-09,calibrated_4y_40m_hl365,29,1.045,1.049,1.045,1.055,1.073,1.055,-0.01,1.101,1.387,0.434,0.434,0.433,0.433,0.433,0.434,0.548,0.522,0.525,0.525,0.608,0.548,-0.2,-0.323,0.034,1.0,0.398,0.396,0.301,0.298,0.395,0.5,0,high,high,high,none,high,,,,,1537.449,1516.439,1298.336,1798.074,1.0,6,2,average,,,,2026-06-20T23:36:25+00:00
Tonga,2026-06-21,2022-06-21,2026-06-21,68,8,2023-11-18,2024-09-09,calibrated_4y_40m_hl365,8,1.189,1.353,1.189,2.398,2.201,2.398,-1.209,1.191,3.721,0.543,0.52,0.445,0.445,0.597,0.543,0.17,0.152,0.093,0.093,0.21,0.17,0.292,0.869,-0.068,1.0,0.225,0.715,0.851,0.0,0.285,0.5,0,low,low,low,none,low,Latest match is 650 days before reference date.; Recent goals-against differs from all-time by -1.32.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,Latest match is 650 days before reference date.,,1277.087,1261.909,1106.741,1549.577,1.0,0,7,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
